日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
1999/11/4,'000938,清华紫光,51.92,55.99,26.75,26.75,11.75,40.17,341.8723,73.7385,29495400,1480391040,6687296000,2076800000
1999/11/5,'000938,清华紫光,51.21,52.5,50.48,51,51.92,-0.71,-1.3675,18.3087,7323484,376054726.4,6595848000,2048400000
1999/11/8,'000938,清华紫光,53.14,53.98,50.7,50.8,51.21,1.93,3.7688,12.1966,4878636,257776013,6844432000,2125600000
1999/11/9,'000938,清华紫光,51.18,53.86,51.12,53.79,53.14,-1.96,-3.6884,10.7569,4302751,222951339.2,6591984000,2047200000
1999/11/10,'000938,清华紫光,51.49,51.87,50.3,50.8,51.18,0.31,0.6057,4.1517,1660681,84457140.66,6631912000,2059600000
1999/11/11,'000938,清华紫光,51.79,52.5,51.3,51.93,51.49,0.3,0.5826,2.5512,1020492,52972711.51,6670552000,2071600000
1999/11/12,'000938,清华紫光,52.06,53,51.7,52.01,51.79,0.27,0.5213,2.9956,1198224,62912354.38,6705328000,2082400000
1999/11/15,'000938,清华紫光,52,52.71,51.41,52.19,52.06,-0.06,-0.1153,2.002,800782,41559209.73,6697600000,2080000000
1999/11/16,'000938,清华紫光,50.61,52.59,50.36,52.5,52,-1.39,-2.6731,4.9343,1973710,100369334.9,6518568000,2024400000
1999/11/17,'000938,清华紫光,51.79,51.95,50.41,50.5,50.61,1.18,2.3316,2.172,868812,44272448.83,6670552000,2071600000
1999/11/18,'000938,清华紫光,50.87,52.5,50.5,52,51.79,-0.92,-1.7764,3.6041,1441633,73872231.11,6552056000,2034800000
1999/11/19,'000938,清华紫光,48.97,51.15,48.9,50.87,50.87,-1.9,-3.735,8.1395,3255788,161577337.9,6307336000,1958800000
1999/11/22,'000938,清华紫光,48.91,49.01,48.03,48.4,48.97,-0.06,-0.1225,2.7472,1098877,53458190.27,6299608000,1956400000
1999/11/23,'000938,清华紫光,49.07,49.21,48.65,49.03,48.91,0.16,0.3271,0.709,283601,13886703.04,6320216000,1962800000
